city,lat,lng,admin_name
Iazizatene,35.2544,-3.115,Oriental
Kariat Ben Aouda,34.7667,-5.95,Rabat-Salé-Kénitra
Farkhâna,35.2833,-3.0167,Oriental
Takad Sahel,30.25,-9.55,Souss-Massa
Timahdit,33.2369,-5.06,Fès-Meknès
Bni Drar,34.8578,-1.9928,Oriental
Figuig,32.1167,-1.2269,Oriental
Imi Mokorn,30.1675,-9.2322,Souss-Massa
Douar Bouchfaa,34.1014,-4.2939,Fès-Meknès
Tanant,31.8667,-6.95,Béni Mellal-Khénifra
Arbaa Sahel,29.5993,-9.877,Souss-Massa
Taouloukoult,31.2167,-9.0833,Marrakech-Safi
Agdz,30.6978,-6.4497,Drâa-Tafilalet
Sebt Ait Ikkou,33.6686,-6.1372,Rabat-Salé-Kénitra
Lamhadi,32.3,-9.0167,Marrakech-Safi
Hetane,32.8403,-6.8025,Béni Mellal-Khénifra
Itzer,32.8833,-5.05,Drâa-Tafilalet
Toundout,31.2667,-6.5833,Drâa-Tafilalet
Abadou,31.5797,-7.3122,Marrakech-Safi
Aïn Zora,34.66,-3.53,Oriental
Aït Hani,31.7786,-5.4555,Drâa-Tafilalet
Tamanar,31.0,-9.6667,Marrakech-Safi
Had Laaounate,32.6128,-8.2256,Casablanca-Settat
Tourza,29.4778,-10.0158,Guelmim-Oued Noun
Amtar,35.2385,-4.7943,Tanger-Tétouan-Al Hoceïma
Mokrisset,34.91,-5.3536,Tanger-Tétouan-Al Hoceïma
Tilougguit,32.0333,-6.2,Béni Mellal-Khénifra
Sidi Bousber,34.5667,-5.3667,Tanger-Tétouan-Al Hoceïma
Souq Sebt Says,32.7773,-8.6433,Casablanca-Settat
Sidi Abdallah,32.5783,-7.8108,Marrakech-Safi
Sidi Boushab,30.074,-9.279,Souss-Massa
Zawyat Ahançal,31.8325,-6.1056,Béni Mellal-Khénifra
Awfouss,31.6833,-4.1667,Drâa-Tafilalet
Oulad Slim,32.7775,-7.7725,Casablanca-Settat
Oued Amlil,34.2,-4.2833,Fès-Meknès
Brikcha,34.9667,-5.5833,Tanger-Tétouan-Al Hoceïma
Douar Echbanat,34.214,-5.3508,Fès-Meknès
Tnine Sidi Lyamani,35.37,-5.97,Tanger-Tétouan-Al Hoceïma
Beni Oulid,34.5897,-4.4514,Fès-Meknès
Aghbalou n’Kerdous,31.6767,-5.2976,Drâa-Tafilalet
Bounaamane,29.5283,-9.8044,Souss-Massa
Jaqma,33.292,-7.44,Casablanca-Settat
Dar Si Aissa,32.4199,-8.908,Marrakech-Safi
Sgamna,32.7342,-7.2025,Casablanca-Settat
Ksar Lmajaz,35.8428,-5.5586,Tanger-Tétouan-Al Hoceïma
Douar Mzoura,34.3167,-5.9333,Rabat-Salé-Kénitra
Jemaat Oulad Mhamed,33.0938,-7.0519,Casablanca-Settat
Msila,35.2,-5.5667,Tanger-Tétouan-Al Hoceïma
Aïn Zohra,34.1,-6.35,Rabat-Salé-Kénitra
Za’roura,35.2167,-5.6667,Tanger-Tétouan-Al Hoceïma
La’tamna,31.91,-7.34,Marrakech-Safi
Jafra,31.5145,-8.7555,Marrakech-Safi
Taghbalt,30.62,-5.35,Drâa-Tafilalet
Bou’nane,32.0275,-3.04,Oriental
Zaggota,34.1667,-5.5333,Rabat-Salé-Kénitra
Tarhjicht,29.0564,-9.4281,Guelmim-Oued Noun
Kenafif,30.4167,-9.0333,Souss-Massa
Dar El Kebdani,35.1203,-3.3322,Oriental
Sidi Rahhal,31.6667,-7.4833,Marrakech-Safi
Kourimat,31.45,-9.3167,Marrakech-Safi
Ech Chaïbat,31.6,-7.85,Marrakech-Safi
Foum Jam’a,31.96,-6.98,Béni Mellal-Khénifra
Douar Snada,35.0667,-4.2167,Tanger-Tétouan-Al Hoceïma
Boudinar,35.15,-3.6333,Oriental
Outa Bouabane,34.2606,-4.4139,Fès-Meknès
Oulad ’Azzouz,32.7693,-6.7543,Béni Mellal-Khénifra
Imlil,31.7567,-7.0106,Béni Mellal-Khénifra
Tiztoutine,34.9833,-3.15,Oriental
Tadla,32.4409,-8.3708,Marrakech-Safi
Ain Karma,34.0071,-5.6182,Fès-Meknès
Aghbalou Aqourar,33.9341,-4.7381,Fès-Meknès
Douar Lehouifrat,32.28,-8.31,Marrakech-Safi
Aklim,34.9167,-2.4333,Oriental
Sidi Ahmed El Khadir,32.5167,-7.3833,Casablanca-Settat
’Aïn Leuh,33.2833,-5.3833,Fès-Meknès
Oued Laou,35.45,-5.0833,Tanger-Tétouan-Al Hoceïma
Bni Boufrah,35.1,-4.3167,Tanger-Tétouan-Al Hoceïma
Oulad Imloul,32.0333,-7.7167,Marrakech-Safi
Bou Zemou,32.1114,-5.5197,Drâa-Tafilalet
Oulad Ayyad,32.3333,-6.3833,Béni Mellal-Khénifra
Tatoufet,35.0339,-5.7706,Tanger-Tétouan-Al Hoceïma
Zawyat Sidi Ben Hamdoun,33.045,-7.929,Casablanca-Settat
Bni Gmil,35.0833,-4.3833,Tanger-Tétouan-Al Hoceïma
Douar Messassa,34.2803,-4.5336,Fès-Meknès
Gaada,35.1594,-2.9892,Oriental
Berkine,33.7665,-3.8438,Oriental
El Amim,32.2067,-7.2629,Marrakech-Safi
Tissaf,33.4,-3.5833,Fès-Meknès
Tissint,29.9006,-7.3203,Souss-Massa
Sidi El Hattab,32.2667,-7.2833,Marrakech-Safi
Gammasa,31.4182,-8.3784,Marrakech-Safi
Mhâjâr,35.12,-3.49,Oriental
Douar Oulad Bouziane,34.2325,-5.0444,Fès-Meknès
Ameskroud,30.5308,-9.3283,Souss-Massa
Laanoussar,33.6833,-4.8167,Fès-Meknès
Laghzawna,33.189,-7.684,Casablanca-Settat
Douar Oulad Sidi Moussa,32.2726,-7.1987,Casablanca-Settat
Sidi Lahsene,34.0999,-2.6219,Oriental
Douar Ezzerarda,34.7667,-5.8333,Rabat-Salé-Kénitra
Oulad Cherif,31.7667,-7.7833,Marrakech-Safi
Tanakoub,35.1091,-5.4577,Tanger-Tétouan-Al Hoceïma
Sidi Bou Othmane,31.9033,-7.9422,Marrakech-Safi
Douar El Mellaliyine,35.6264,-5.3414,Tanger-Tétouan-Al Hoceïma
Bir Tam Tam,33.9833,-4.6333,Fès-Meknès
Tafersit,35.0167,-3.5333,Oriental
Mwaline al Oued,33.4467,-7.3283,Casablanca-Settat
Chtiba,32.2,-7.3,Marrakech-Safi
Iguidiy,30.7467,-7.9267,Souss-Massa
Sidi Ouassay,30.05,-9.6833,Souss-Massa
Gtarna,32.9724,-7.9645,Casablanca-Settat
Aïn el Mediour,30.4,-8.8833,Souss-Massa
Had Dra,31.5833,-9.5333,Marrakech-Safi
Foum Zguid,30.0833,-6.8667,Souss-Massa
Bni Sidel,35.1392,-3.1281,Oriental
Zawyat Sidi al Mekki,33.212,-7.717,Casablanca-Settat
Douar Ait Taleb,32.3839,-8.1856,Marrakech-Safi
Imilchil,32.155,-5.6347,Drâa-Tafilalet
Iskourane,30.8433,-9.8186,Marrakech-Safi
Msemrir,31.7028,-5.8125,Drâa-Tafilalet
Ait Ikkou,33.669,-6.1376,Fès-Meknès
Aït Ouaoumana,32.7128,-5.8042,Béni Mellal-Khénifra
Agadir Melloul,30.2167,-7.8,Souss-Massa
Amarzgane,31.05,-7.2167,Drâa-Tafilalet
Hassi Berkane,34.8333,-2.8667,Oriental
Saidia,35.085,-2.2392,Oriental
Tiqqi,29.8667,-9.0667,Souss-Massa
Bouhlou,34.1333,-4.4,Fès-Meknès
Iaboutene,35.067,-3.967,Tanger-Tétouan-Al Hoceïma
Tleta Taghramt,35.7877,-5.4677,Tanger-Tétouan-Al Hoceïma
Sidi el Mokhfi,34.6039,-4.7889,Fès-Meknès
Sidi Dahbi,33.05,-7.1833,Casablanca-Settat
Zawiat Moulay Brahim,31.2858,-7.9656,Marrakech-Safi
Oulad Khallouf,31.79,-7.07,Marrakech-Safi
Oulad Khallouf,34.71,-2.58,Oriental
Lakhzazra,33.0333,-7.05,Casablanca-Settat
Lambarkiyine,33.2,-7.5,Casablanca-Settat
Bir Anzarane,23.8918,-14.5364,Dakhla-Oued Ed-Dahab
Tifariti,26.158,-10.567,Laâyoune-Sakia El Hamra
Uad Damran,27.4181,-12.9842,Laâyoune-Sakia El Hamra
Lemsid,26.5482,-13.8482,Laâyoune-Sakia El Hamra
